Product,Slug,AED,SAR,QAR,OMR,BHD,KWD,GBP,EUR,USD,CHF,RUB,CNY,CAD,SGD,BND,MYR,MAD,NGN,IDR,KZT,AZN,UZS,HKD
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,3299,3395,3299,349,339,279,675,795,949,749,69900,6398,1295,1195,1195,3795,8290,1249000,16195000,439000,1549,10750000,7198
"Covent Garden Abaya",covent-garden-abaya,2799,2895,2799,299,289,239,575,695,799,639,59900,5398,1095,999,999,3195,7290,1059000,13795000,369000,1319,9145000,6098
"Kensington Abaya",kensington-abaya,2899,2995,2899,309,299,249,599,719,829,659,61900,5598,1145,1045,1045,3295,7490,1099000,14300000,379000,1369,9495000,6298
"Marylebone Abaya",marylebone-abaya,2499,2595,2499,269,259,219,525,619,729,559,52900,4898,995,899,899,2845,6490,949000,12350000,329000,1179,8950000,5398
"Belgravia Abaya",belgravia-abaya,3199,3295,3199,339,329,279,649,779,919,719,67900,6198,1295,1145,1145,3695,8290,1219000,15790000,419000,1499,8195000,6898
"Park Lane Abaya",park-lane-abaya,2199,2295,2199,239,229,189,449,549,649,499,46900,4298,899,799,799,2495,5690,829000,10895000,289000,1029,7195000,4798
"Hyde Park Set",hyde-park-set,1399,1495,1399,149,149,119,285,349,419,339,29900,2698,549,499,499,1595,3690,529000,6895000,185000,659,4595000,3098
"Mayfair Kaftan",mayfair-kaftan,975,1045,975,109,99,89,199,249,299,239,20900,1998,399,349,349,1145,2595,379000,4950000,129000,469,3295000,2198
"Nothing Hill Kaftan",nothing-hill-kaftan,975,1045,975,109,99,89,199,249,299,239,20900,1998,399,349,349,1145,2595,379000,4950000,129000,469,3295000,2198
"Knightsbridge Dress",knightsbridge-dress,2199,2295,2199,239,229,189,449,549,649,499,46900,4298,899,799,799,2495,5690,829000,10895000,289000,1029,7195000,4798
"Covent Garden Long Dress",covent-garden-long-dress,1699,1745,1699,179,179,149,349,429,519,389,35900,3398,699,599,599,1945,4390,649000,8395000,225000,799,5595000,3698
"Hampstead Dress",hampstead-dress,1799,1845,1799,189,189,149,369,449,549,409,37900,3598,719,649,649,2095,4690,689000,8895000,239000,849,5895000,3898
"Covent Garden Signature Set",covent-garden-signature-set,3199,3295,3199,339,329,279,649,779,919,719,67900,6198,1295,1145,1145,3695,8290,1219000,15790000,419000,1499,10450000,6898
"Soho Set",soho-set,1499,1545,1499,159,159,129,299,379,449,349,31900,2998,599,529,529,1695,3890,569000,7395000,199000,709,4895000,3298
