product_name,slug,currency,retail_amount,stripe_unit_amount
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,AED,3299,329900
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,SAR,3395,339500
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,QAR,3299,329900
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,OMR,349,349000
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,BHD,339,339000
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,KWD,279,279000
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,GBP,675,67500
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,EUR,795,79500
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,USD,949,94900
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,CHF,749,74900
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,RUB,69900,6990000
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,CNY,6398,639800
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,CAD,1295,129500
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,SGD,1195,119500
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,BND,1195,119500
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,MYR,3795,379500
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,MAD,8290,829000
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,NGN,1249000,50000000
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,IDR,16195000,50000000
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,KZT,439000,43900000
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,AZN,1549,154900
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,UZS,10750000,50000000
"Knightsbridge Abaya Jacket",knightsbridge-abaya-jacket,HKD,7198,719800
"Covent Garden Abaya",covent-garden-abaya,AED,2799,279900
"Covent Garden Abaya",covent-garden-abaya,SAR,2895,289500
"Covent Garden Abaya",covent-garden-abaya,QAR,2799,279900
"Covent Garden Abaya",covent-garden-abaya,OMR,299,299000
"Covent Garden Abaya",covent-garden-abaya,BHD,289,289000
"Covent Garden Abaya",covent-garden-abaya,KWD,239,239000
"Covent Garden Abaya",covent-garden-abaya,GBP,575,57500
"Covent Garden Abaya",covent-garden-abaya,EUR,695,69500
"Covent Garden Abaya",covent-garden-abaya,USD,799,79900
"Covent Garden Abaya",covent-garden-abaya,CHF,639,63900
"Covent Garden Abaya",covent-garden-abaya,RUB,59900,5990000
"Covent Garden Abaya",covent-garden-abaya,CNY,5398,539800
"Covent Garden Abaya",covent-garden-abaya,CAD,1095,109500
"Covent Garden Abaya",covent-garden-abaya,SGD,999,99900
"Covent Garden Abaya",covent-garden-abaya,BND,999,99900
"Covent Garden Abaya",covent-garden-abaya,MYR,3195,319500
"Covent Garden Abaya",covent-garden-abaya,MAD,7290,729000
"Covent Garden Abaya",covent-garden-abaya,NGN,1059000,50000000
"Covent Garden Abaya",covent-garden-abaya,IDR,13795000,50000000
"Covent Garden Abaya",covent-garden-abaya,KZT,369000,36900000
"Covent Garden Abaya",covent-garden-abaya,AZN,1319,131900
"Covent Garden Abaya",covent-garden-abaya,UZS,9145000,50000000
"Covent Garden Abaya",covent-garden-abaya,HKD,6098,609800
"Kensington Abaya",kensington-abaya,AED,2899,289900
"Kensington Abaya",kensington-abaya,SAR,2995,299500
"Kensington Abaya",kensington-abaya,QAR,2899,289900
"Kensington Abaya",kensington-abaya,OMR,309,309000
"Kensington Abaya",kensington-abaya,BHD,299,299000
"Kensington Abaya",kensington-abaya,KWD,249,249000
"Kensington Abaya",kensington-abaya,GBP,599,59900
"Kensington Abaya",kensington-abaya,EUR,719,71900
"Kensington Abaya",kensington-abaya,USD,829,82900
"Kensington Abaya",kensington-abaya,CHF,659,65900
"Kensington Abaya",kensington-abaya,RUB,61900,6190000
"Kensington Abaya",kensington-abaya,CNY,5598,559800
"Kensington Abaya",kensington-abaya,CAD,1145,114500
"Kensington Abaya",kensington-abaya,SGD,1045,104500
"Kensington Abaya",kensington-abaya,BND,1045,104500
"Kensington Abaya",kensington-abaya,MYR,3295,329500
"Kensington Abaya",kensington-abaya,MAD,7490,749000
"Kensington Abaya",kensington-abaya,NGN,1099000,50000000
"Kensington Abaya",kensington-abaya,IDR,14300000,50000000
"Kensington Abaya",kensington-abaya,KZT,379000,37900000
"Kensington Abaya",kensington-abaya,AZN,1369,136900
"Kensington Abaya",kensington-abaya,UZS,9495000,50000000
"Kensington Abaya",kensington-abaya,HKD,6298,629800
"Marylebone Abaya",marylebone-abaya,AED,2499,249900
"Marylebone Abaya",marylebone-abaya,SAR,2595,259500
"Marylebone Abaya",marylebone-abaya,QAR,2499,249900
"Marylebone Abaya",marylebone-abaya,OMR,269,269000
"Marylebone Abaya",marylebone-abaya,BHD,259,259000
"Marylebone Abaya",marylebone-abaya,KWD,219,219000
"Marylebone Abaya",marylebone-abaya,GBP,525,52500
"Marylebone Abaya",marylebone-abaya,EUR,619,61900
"Marylebone Abaya",marylebone-abaya,USD,729,72900
"Marylebone Abaya",marylebone-abaya,CHF,559,55900
"Marylebone Abaya",marylebone-abaya,RUB,52900,5290000
"Marylebone Abaya",marylebone-abaya,CNY,4898,489800
"Marylebone Abaya",marylebone-abaya,CAD,995,99500
"Marylebone Abaya",marylebone-abaya,SGD,899,89900
"Marylebone Abaya",marylebone-abaya,BND,899,89900
"Marylebone Abaya",marylebone-abaya,MYR,2845,284500
"Marylebone Abaya",marylebone-abaya,MAD,6490,649000
"Marylebone Abaya",marylebone-abaya,NGN,949000,50000000
"Marylebone Abaya",marylebone-abaya,IDR,12350000,50000000
"Marylebone Abaya",marylebone-abaya,KZT,329000,32900000
"Marylebone Abaya",marylebone-abaya,AZN,1179,117900
"Marylebone Abaya",marylebone-abaya,UZS,8950000,50000000
"Marylebone Abaya",marylebone-abaya,HKD,5398,539800
"Belgravia Abaya",belgravia-abaya,AED,3199,319900
"Belgravia Abaya",belgravia-abaya,SAR,3295,329500
"Belgravia Abaya",belgravia-abaya,QAR,3199,319900
"Belgravia Abaya",belgravia-abaya,OMR,339,339000
"Belgravia Abaya",belgravia-abaya,BHD,329,329000
"Belgravia Abaya",belgravia-abaya,KWD,279,279000
"Belgravia Abaya",belgravia-abaya,GBP,649,64900
"Belgravia Abaya",belgravia-abaya,EUR,779,77900
"Belgravia Abaya",belgravia-abaya,USD,919,91900
"Belgravia Abaya",belgravia-abaya,CHF,719,71900
"Belgravia Abaya",belgravia-abaya,RUB,67900,6790000
"Belgravia Abaya",belgravia-abaya,CNY,6198,619800
"Belgravia Abaya",belgravia-abaya,CAD,1295,129500
"Belgravia Abaya",belgravia-abaya,SGD,1145,114500
"Belgravia Abaya",belgravia-abaya,BND,1145,114500
"Belgravia Abaya",belgravia-abaya,MYR,3695,369500
"Belgravia Abaya",belgravia-abaya,MAD,8290,829000
"Belgravia Abaya",belgravia-abaya,NGN,1219000,50000000
"Belgravia Abaya",belgravia-abaya,IDR,15790000,50000000
"Belgravia Abaya",belgravia-abaya,KZT,419000,41900000
"Belgravia Abaya",belgravia-abaya,AZN,1499,149900
"Belgravia Abaya",belgravia-abaya,UZS,8195000,50000000
"Belgravia Abaya",belgravia-abaya,HKD,6898,689800
"Park Lane Abaya",park-lane-abaya,AED,2199,219900
"Park Lane Abaya",park-lane-abaya,SAR,2295,229500
"Park Lane Abaya",park-lane-abaya,QAR,2199,219900
"Park Lane Abaya",park-lane-abaya,OMR,239,239000
"Park Lane Abaya",park-lane-abaya,BHD,229,229000
"Park Lane Abaya",park-lane-abaya,KWD,189,189000
"Park Lane Abaya",park-lane-abaya,GBP,449,44900
"Park Lane Abaya",park-lane-abaya,EUR,549,54900
"Park Lane Abaya",park-lane-abaya,USD,649,64900
"Park Lane Abaya",park-lane-abaya,CHF,499,49900
"Park Lane Abaya",park-lane-abaya,RUB,46900,4690000
"Park Lane Abaya",park-lane-abaya,CNY,4298,429800
"Park Lane Abaya",park-lane-abaya,CAD,899,89900
"Park Lane Abaya",park-lane-abaya,SGD,799,79900
"Park Lane Abaya",park-lane-abaya,BND,799,79900
"Park Lane Abaya",park-lane-abaya,MYR,2495,249500
"Park Lane Abaya",park-lane-abaya,MAD,5690,569000
"Park Lane Abaya",park-lane-abaya,NGN,829000,50000000
"Park Lane Abaya",park-lane-abaya,IDR,10895000,50000000
"Park Lane Abaya",park-lane-abaya,KZT,289000,28900000
"Park Lane Abaya",park-lane-abaya,AZN,1029,102900
"Park Lane Abaya",park-lane-abaya,UZS,7195000,50000000
"Park Lane Abaya",park-lane-abaya,HKD,4798,479800
"Hyde Park Set",hyde-park-set,AED,1399,139900
"Hyde Park Set",hyde-park-set,SAR,1495,149500
"Hyde Park Set",hyde-park-set,QAR,1399,139900
"Hyde Park Set",hyde-park-set,OMR,149,149000
"Hyde Park Set",hyde-park-set,BHD,149,149000
"Hyde Park Set",hyde-park-set,KWD,119,119000
"Hyde Park Set",hyde-park-set,GBP,285,28500
